,0,1
680,2-21-j18-1,S-Bahn
681,6-21-A-j18-1,Bus
682,6-21-j18-1,Bus
683,8-21-j18-1,S-Bahn
684,11-21-j18-1,Bus
685,12-21-j18-1,Bus
686,17-21-j18-1,Bus
687,18-21-j18-1,Bus
688,20-21-j18-1,Intercity
689,25-21-j18-1,Bus
690,26-21-j18-1,S-Bahn
691,27-21-j18-1,Bus
692,79-21-A-j18-1,Bus
693,79-21-B-j18-1,Bus
694,79-21-j18-1,Bus
695,6-210-j18-1,Bus
696,16-210-j18-1,Bus
697,23-210-j18-1,Bus
698,26-210-j18-1,Bus
699,79-210-j18-1,Bus
700,11-211-j18-1,Bus
701,12-211-j18-1,Bus
702,16-211-j18-1,Bus
703,23-211-j18-1,Bus
704,24-211-j18-1,Bus
705,79-211-j18-1,Bus
706,11-212-j18-1,Bus
707,20-212-j18-1,Bus
708,23-212-j18-1,Bus
709,26-212-j18-1,Bus
710,11-213-j18-1,Bus
711,23-213-j18-1,Bus
712,24-213-j18-1,Bus
713,26-213-j18-1,Bus
714,11-214-j18-1,Bus
715,20-214-j18-1,Bus
716,24-214-j18-1,Bus
717,1-215-j18-1,Bus
718,11-215-j18-1,Bus
719,23-215-j18-1,Bus
720,24-215-j18-1,Bus
721,26-215-j18-1,Bus
722,8-216-j18-1,Bus
723,11-216-j18-1,Bus
724,23-216-j18-1,Bus
725,1-217-j18-1,Bus
726,11-217-j18-1,Bus
727,26-217-j18-1,Bus
728,30-21-Y-j18-1,Bus
729,59-21-Y-j18-1,InterRegio
730,66-21-Y-j18-1,Regionalzug
731,68-21-Y-j18-1,S-Bahn
732,79-21-Y-j18-1,RegioExpress
733,80-21-Y-j18-1,RegioExpress
734,2-22-j18-1,S-Bahn
735,3-22-j18-1,S-Bahn
736,6-22-j18-1,Bus
737,11-22-j18-1,Bus
738,12-22-j18-1,Bus
739,17-22-A-j18-1,Bus
740,17-22-B-j18-1,Bus
741,17-22-j18-1,S-Bahn
742,18-22-j18-1,Bus
743,26-22-j18-1,S-Bahn
744,27-22-j18-1,Bus
745,79-22-A-j18-1,Bus
746,79-22-B-j18-1,Bus
747,79-22-j18-1,S-Bahn
748,6-220-j18-1,Bus
749,11-220-j18-1,Bus
750,23-220-j18-1,Bus
751,24-220-j18-1,Bus
752,26-220-j18-1,Bus
753,79-220-A-j18-1,Bus
754,79-220-j18-1,Bus
755,11-221-j18-1,Bus
756,12-221-j18-1,Bus
757,79-221-j18-1,Bus
758,2-222-j18-1,Bus
759,11-222-j18-1,Bus
760,79-222-j18-1,Bus
761,2-223-j18-1,Bus
762,11-223-j18-1,Bus
763,26-223-j18-1,Bus
764,2-224-j18-1,Bus
765,2-225-j18-1,Bus
766,24-225-j18-1,Bus
767,26-225-j18-1,Bus
768,2-226-j18-1,Bus
769,3-226-j18-1,Bus
770,2-227-j18-1,Bus
771,3-227-j18-1,Bus
772,26-227-j18-1,Bus
773,2-228-j18-1,Bus
774,79-228-j18-1,Bus
